0x81007fc0 -> VictimWayL2: 7, Set: 511
0x811c0000 -> HitWay: 6, Set: 0
0x81008000 -> VictimWayL2: 7, Set: 512
0x811c0040 -> HitWay: 2, Set: 1
0x81008040 -> HitWay: 7, Set: 26
0x811c0080 -> HitWay: 2, Set: 2
0x81008080 -> VictimWayL2: 7, Set: 514
0x811c00c0 -> HitWay: 2, Set: 3
0x810080c0 -> VictimWayL2: 7, Set: 515
0x811c0100 -> HitWay: 2, Set: 4
0x81008100 -> VictimWayL2: 7, Set: 516
0x811c0140 -> HitWay: 2, Set: 5
0x81008140 -> VictimWayL2: 7, Set: 517
0x811c0180 -> HitWay: 2, Set: 6
0x81008180 -> VictimWayL2: 7, Set: 518
0x811c01c0 -> HitWay: 2, Set: 7
0x810081c0 -> VictimWayL2: 7, Set: 519
0x811c0200 -> HitWay: 2, Set: 8
0x81008200 -> VictimWayL2: 7, Set: 520
0x81017fc0 -> VictimWayL2: 6, Set: 511
0x811d0000 -> HitWay: 7, Set: 0
0x81018000 -> VictimWayL2: 6, Set: 512
0x811d0040 -> HitWay: 1, Set: 1
0x81018040 -> VictimWayL2: 6, Set: 513
0x811d0080 -> HitWay: 1, Set: 2
0x81018080 -> VictimWayL2: 6, Set: 514
0x811d00c0 -> HitWay: 1, Set: 3
0x810180c0 -> VictimWayL2: 6, Set: 515
0x811d0100 -> HitWay: 1, Set: 4
0x81018100 -> VictimWayL2: 6, Set: 516
0x811d0140 -> HitWay: 1, Set: 5
0x81018140 -> VictimWayL2: 6, Set: 517
0x811d0180 -> HitWay: 1, Set: 6
0x81018180 -> VictimWayL2: 6, Set: 518
0x811d01c0 -> HitWay: 1, Set: 7
0x810181c0 -> VictimWayL2: 6, Set: 519
0x811d0200 -> HitWay: 1, Set: 8
0x81018200 -> VictimWayL2: 6, Set: 520
0x81027fc0 -> VictimWayL2: 5, Set: 511
0x811e0000 -> HitWay: 3, Set: 0
0x81028000 -> VictimWayL2: 5, Set: 512
0x811e0040 -> HitWay: 0, Set: 1
0x81028040 -> VictimWayL2: 5, Set: 513
0x811e0080 -> HitWay: 0, Set: 2
0x81028080 -> VictimWayL2: 5, Set: 514
0x811e00c0 -> HitWay: 0, Set: 3
0x810280c0 -> VictimWayL2: 5, Set: 515
0x811e0100 -> HitWay: 0, Set: 4
0x81028100 -> VictimWayL2: 5, Set: 516
0x811e0140 -> HitWay: 0, Set: 5
0x81028140 -> VictimWayL2: 5, Set: 517
0x811e0180 -> HitWay: 0, Set: 6
0x81028180 -> VictimWayL2: 5, Set: 518
0x811e01c0 -> HitWay: 0, Set: 7
0x810281c0 -> VictimWayL2: 5, Set: 519
0x811e0200 -> HitWay: 0, Set: 8
0x81028200 -> VictimWayL2: 5, Set: 520
0x80028fc0 -> HitWay: 7, Set: 575
0x81037fc0 -> VictimWayL2: 4, Set: 511
0x811f0000 -> HitWay: 4, Set: 0
0x81038000 -> VictimWayL2: 4, Set: 512
0x811f0040 -> HitWay: 7, Set: 1
0x81038040 -> VictimWayL2: 4, Set: 513
0x811f0080 -> HitWay: 7, Set: 2
0x81038080 -> VictimWayL2: 4, Set: 514
0x811f00c0 -> HitWay: 7, Set: 3
0x810380c0 -> VictimWayL2: 4, Set: 515
0x811f0100 -> HitWay: 7, Set: 4
0x81038100 -> VictimWayL2: 4, Set: 516
0x811f0140 -> HitWay: 7, Set: 5
0x81038140 -> VictimWayL2: 4, Set: 517
0x811f0180 -> HitWay: 7, Set: 6
0x81038180 -> VictimWayL2: 4, Set: 518
0x811f01c0 -> HitWay: 7, Set: 7
0x810381c0 -> VictimWayL2: 4, Set: 519
0x811f0200 -> HitWay: 7, Set: 8
0x81038200 -> VictimWayL2: 4, Set: 520
0x81007fc0 -> HitWay: 7, Set: 511
0x81047fc0 -> VictimWayL2: 3, Set: 511
0x81008000 -> HitWay: 7, Set: 512
0x81048000 -> VictimWayL2: 3, Set: 512
0x81008040 -> HitWay: 7, Set: 513
0x81048040 -> VictimWayL2: 3, Set: 513
0x81008080 -> HitWay: 7, Set: 514
0x81048080 -> VictimWayL2: 3, Set: 514
0x810080c0 -> HitWay: 7, Set: 515
0x810480c0 -> VictimWayL2: 3, Set: 515
0x81008100 -> HitWay: 7, Set: 516
0x81048100 -> VictimWayL2: 3, Set: 516
0x81008140 -> HitWay: 7, Set: 517
0x81048140 -> VictimWayL2: 3, Set: 517
0x81008180 -> HitWay: 7, Set: 518
0x81048180 -> VictimWayL2: 3, Set: 518
0x810081c0 -> HitWay: 7, Set: 519
0x810481c0 -> HitWay: 7, Set: 26
0x81008200 -> HitWay: 7, Set: 520
0x81048200 -> VictimWayL2: 3, Set: 520
0x81017fc0 -> HitWay: 6, Set: 511
0x81057fc0 -> VictimWayL2: 2, Set: 511
0x81018000 -> HitWay: 6, Set: 512
0x81058000 -> VictimWayL2: 2, Set: 512
0x81018040 -> HitWay: 6, Set: 513
0x81058040 -> VictimWayL2: 2, Set: 513
0x81018080 -> HitWay: 6, Set: 514
0x81058080 -> VictimWayL2: 2, Set: 514
0x810180c0 -> HitWay: 6, Set: 515
0x810580c0 -> VictimWayL2: 2, Set: 515
0x81018100 -> HitWay: 6, Set: 516
0x81058100 -> VictimWayL2: 2, Set: 516
0x81018140 -> HitWay: 6, Set: 517
0x81058140 -> VictimWayL2: 2, Set: 517
0x81018180 -> HitWay: 6, Set: 518
0x81058180 -> VictimWayL2: 2, Set: 518
0x810181c0 -> HitWay: 6, Set: 519
0x810581c0 -> VictimWayL2: 2, Set: 519
0x81018200 -> HitWay: 6, Set: 520
0x81058200 -> VictimWayL2: 2, Set: 520
0x81027fc0 -> HitWay: 5, Set: 511
0x81067fc0 -> HitWay: 7, Set: 26
0x81028000 -> HitWay: 5, Set: 512
0x81068000 -> VictimWayL2: 1, Set: 512
0x81028040 -> HitWay: 5, Set: 513
0x81068040 -> VictimWayL2: 1, Set: 513
0x81028080 -> HitWay: 5, Set: 514
0x81068080 -> VictimWayL2: 1, Set: 514
